Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
76,765,76,Jul 1,LAD,,SDP,W5-1,CG,5,5,1,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,.306,.352,.485,.838,1,.88,-0.053,1.29,-0.05%,-0.31,13.00,15.20,SS
77,766,77,Jul 2,LAD,,SDP,W7-2,CG,4,3,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.306,.354,.484,.838,1,.44,0.034,.63,0.03%,0.89,9.00,12.70,SS
78,767,78,Jul 3,LAD,,SDP,L2-4,CG,5,4,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.312,.360,.490,.851,2,.94,0.169,1.25,0.14%,1.69,15.00,18.50,SS
79,768,79,Jul 4,LAD,,COL,W5-3,CG,4,4,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.311,.359,.491,.850,2,.50,-0.012,.54,-0.01%,0.53,7.00,9.50,SS
80,769,80,Jul 5,LAD,,COL,W5-2,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.307,.355,.484,.840,2,.53,-0.072,.54,-0.04%,-1.28,0.00,0.00,SS
81,770,81,Jul 6,LAD,,COL,W2-1,CG,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.306,.357,.481,.838,2,1.18,0.030,1.09,0.02%,0.25,4.00,6.00,SS
82,771,82,Jul 7,LAD,,CHC,W5-3,CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.305,.356,.482,.837,2,.52,0.003,.44,0.00%,-0.39,5.00,6.00,SS
83,772,83,Jul 8,LAD,,CHC,W4-3,CG(10),5,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.300,.351,.474,.825,2,1.84,-0.252,1.49,-0.12%,-1.34,2.00,3.20,SS
84,773,84,Jul 9,LAD,,CHC,W4-2,CG,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.300,.350,.475,.824,2,1.66,-0.088,1.29,-0.04%,-0.79,7.00,9.20,SS
85,774,85,Jul 10,LAD,,CHC,W11-9,CG,5,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,.301,.350,.474,.824,2,1.08,0.187,.74,0.08%,1.49,17.00,22.20,SS
86,775,86,Jul 12,LAD,@,STL,L6-7,GS-8,5,4,3,2,0,0,1,2,0,0,0,0,0,0,0,1,0,0,.303,.352,.483,.835,2,1.03,0.060,.74,0.03%,1.40,23.00,31.60,SS
87,776,87,Jul 13,LAD,@,STL,W7-6,CG,5,5,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,.305,.352,.481,.834,2,.91,0.134,.72,0.07%,1.52,10.00,13.00,SS
88,777,88,Jul 14,LAD,@,STL,W4-0,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.304,.351,.479,.830,2,.66,-0.023,.42,-0.01%,-0.43,5.00,6.20,SS
89,778,89,Jul 15,LAD,@,LAA,W9-1,CG,5,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.304,.352,.476,.828,2,.79,0.021,.40,0.01%,0.38,9.00,12.40,SS
90,779,90,Jul 16,LAD,@,LAA,W7-1,GS-8,4,4,2,2,0,0,2,3,0,0,1,0,0,0,0,0,0,0,.306,.354,.493,.847,2,.50,0.256,.25,0.08%,2.24,30.00,40.90,SS
91,780,91,Jul 21,LAD,,SFG,W9-6,CG,5,5,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.307,.354,.495,.849,2,.51,0.047,.26,0.01%,0.00,10.00,12.20,SS
92,781,92,Jul 22,LAD,,SFG,W5-1,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.306,.353,.492,.845,2,1.27,-0.145,.58,-0.04%,-1.52,3.00,3.00,SS
93,782,93,Jul 23,LAD,,SFG,W4-2,CG,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.306,.352,.497,.849,2,.70,0.047,.29,0.01%,0.09,14.00,18.70,SS
94,783,94,Jul 24,LAD,,SFG,W7-4,CG,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.304,.350,.493,.844,2,1.00,-0.042,.36,-0.01%,-0.60,3.00,3.00,SS
95,784,95,Jul 25,LAD,,WSN,L1-4,CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.306,.352,.496,.848,2,1.50,0.003,.40,0.00%,0.07,8.00,9.00,SS
96,785,96,Jul 26,LAD,,WSN,L3-8,CG,4,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.308,.353,.499,.852,2,1.02,0.067,.28,0.01%,0.45,8.00,9.00,SS
97,786,97,Jul 27,LAD,,WSN,W7-1,GS-7,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,.308,.352,.499,.851,2,.43,-0.025,.16,-0.01%,-1.02,5.00,6.00,SS
98,787,98,Jul 28,LAD,@,COL,W13-0,GS-5,4,4,3,3,1,0,0,3,0,0,0,0,0,0,0,0,1,0,.312,.356,.504,.860,2,.86,0.248,.30,0.05%,3.73,28.00,38.10,SS
99,788,99,Jul 29,LAD,@,COL,W5-4,CG,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.311,.354,.500,.854,2,.64,-0.058,.18,-0.01%,-1.34,5.00,6.20,SS
100,789,100,Jul 30,LAD,@,COL,L3-5,CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.310,.353,.505,.858,2,.90,0.033,.23,0.01%,0.38,14.00,18.70,SS
101,790,101,Jul 31,LAD,@,COL,W7-3,CG,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.309,.351,.501,.853,2,.56,-0.034,.16,-0.01%,-0.86,3.00,3.00,SS
102,791,102,Aug 1,LAD,@,SFG,W8-2,CG,5,3,1,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,.309,.352,.507,.859,2,.49,-0.013,.13,0.00%,0.53,18.00,25.20,SS
103,792,103,Aug 2,LAD,@,SFG,W9-5,CG,5,4,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.309,.350,.505,.855,2,.62,-0.024,.14,0.00%,-0.20,5.00,6.50,SS
104,793,104,Aug 3,LAD,@,SFG,W3-0,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.306,.347,.500,.847,2,.52,-0.053,.10,-0.01%,-0.71,0.00,0.00,SS
105,794,105,Aug 4,LAD,@,SFG,W5-3,CG,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.305,.346,.505,.851,2,.54,0.041,.10,0.01%,0.58,14.00,18.70,SS
106,795,106,Aug 5,LAD,,SDP,W8-1,CG,5,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.306,.347,.503,.850,2,.28,0.058,.06,0.01%,0.33,8.00,9.20,SS
107,796,107,Aug 6,LAD,,SDP,W8-3,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.306,.346,.501,.847,2,1.13,0.010,.20,0.00%,0.96,5.00,6.20,SS
108,797,108,Aug 7,LAD,,SDP,W4-0,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.305,.345,.499,.844,2,.72,-0.054,.09,0.00%,-0.56,10.00,12.20,SS
109,798,109,Aug 9,LAD,,MIN,W10-3,CG,5,5,1,2,2,0,0,3,0,0,1,0,0,0,0,0,0,0,.306,.346,.502,.848,2,.42,0.070,.03,0.00%,1.66,18.00,25.70,SS
110,799,110,Aug 10,LAD,,MIN,W8-5,CG,4,4,2,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,.308,.347,.504,.852,2,1.05,0.116,.05,0.00%,0.95,19.00,24.90,SS
111,800,111,Aug 12,LAD,@,KCR,W8-3,CG,5,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.309,.348,.503,.851,2,1.19,0.062,.06,0.00%,0.74,12.00,16.20,SS
112,801,112,Aug 13,LAD,@,KCR,W13-3,GS-4,3,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.309,.348,.502,.850,2,.52,0.013,.03,0.00%,-0.41,5.00,6.20,SS
113,802,113,Aug 14,LAD,@,KCR,L0-4,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.307,.345,.498,.843,2,1.01,-0.105,.06,0.00%,-0.98,0.00,0.00,SS
114,803,114,Aug 15,LAD,@,MIL,W4-0,CG,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.305,.343,.495,.838,2,.55,0.028,.03,0.00%,0.02,3.00,3.00,SS
115,804,115,Aug 16,LAD,@,MIL,L4-5,CG(11),5,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.306,.344,.494,.837,2,1.17,0.020,.04,0.00%,0.05,6.00,6.00,SS
116,805,116,Aug 17,LAD,@,MIL,W2-1,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.304,.343,.490,.834,2,.84,-0.019,.03,0.00%,-0.14,2.00,3.00,SS
117,806,117,Aug 18,LAD,@,MIL,L3-5,CG,4,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.306,.344,.493,.837,1,.66,-0.004,.03,0.00%,0.36,10.00,12.20,SS
118,807,118,Aug 19,LAD,,MIA,W2-1,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.304,.344,.490,.833,2,1.52,-0.140,.05,0.00%,-1.16,2.00,3.00,SS
119,808,119,Aug 20,LAD,,MIA,W7-0,CG,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.305,.344,.489,.833,2,.29,0.047,.01,0.00%,-0.13,10.00,12.40,SS
120,809,120,Aug 21,LAD,,MIA,W10-3,CG,5,3,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.305,.347,.488,.834,2,.48,-0.018,.02,0.00%,0.27,11.00,15.40,SS
